GL_Account,GL_Account_Name,CompanyCode,CompanyCodeName,Profit_Center,Profit_Center_Desc,Cost_Center,Cost_Center_Desc,Functional_Area,Func_Area_Desc,Period/Year,Amount,Average,Minimum,Maximum,StdDev,ConfLow,ConfHigh,ID,Item,Reversal,Segment,Cost_Type 
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,81460.33,174935.54,-414144.87,1470223.29,444878.9090230958,3929.588805481384,345941.4831945186,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,298184.08,169093.34,-414144.87,1470223.29,430428.6952146906,3641.8717951700964,334544.7994548299,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,38916.11,176686.91,-414144.87,1470223.29,417935.1837628311,16037.796187447006,337336.02146055305,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,30138.31,169032.98,-414144.87,1470223.29,406754.97681166185,12681.396114971401,325384.55499702855,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,65508.36,161722.73,-414144.87,1470223.29,396577.0041342795,9283.437302430742,314162.0226975693,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,38808.03,156912.01,-414144.87,1470223.29,386598.8066316252,8308.21444096815,305515.8085590318,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,85415.11,151288.01,-414144.87,1470223.29,377690.246250097,6108.555688042252,296467.46907395776,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,83034.31,148293.79,-414144.87,1470223.29,368855.40097317524,6510.338044139586,290077.24104586046,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,86350.70,145456.42,-414144.87,1470223.29,360631.64774627134,6834.078339553089,284078.7634004469,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,36679.89,142993.68,-414144.87,1470223.29,352911.0001211083,7339.061372654192,278648.3036273458,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,33186.36,138741.13,-414144.87,1470223.29,346134.1575004893,5691.444111717428,271790.81748828257,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,670.14,134681.33,-414144.87,1470223.29,339772.0293505313,4077.168563403684,265285.4952825963,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,-500070.39,78160.06,-414144.87,756161.98,203700.90410038875,-140.04978819134703,156460.16363419133,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,40362.58,51566.46,-500070.39,756161.98,231559.8661525933,-37442.28388880513,140575.21004280512,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,348127.21,66464.79,-500070.39,756161.98,216887.39236710034,-16904.041924419813,149833.6173084198,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,551.88,95782.94,-500070.39,756161.98,200200.21866207966,18828.458064860242,172737.43116513977,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,-6644.23,95575.78,-500070.39,756161.98,200299.6685726575,18583.068826939605,172568.4965570604,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,1064.34,90900.36,-500070.39,756161.98,201246.6580149587,13543.630881435689,168257.08065656433,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,946.00,83481.65,-500070.39,756161.98,200850.75372862944,6277.110435733979,160686.19879426603,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,48686.14,79738.46,-500070.39,756161.98,201470.07692269582,2295.853341139373,157181.0620428606,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,275.94,70100.43,-500070.39,756161.98,196479.78373741478,-5423.9670209613105,145624.8277909613,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,1024.92,67508.98,-500070.39,756161.98,196957.1021464319,-8198.895387510522,143216.85000351054,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2023005,141276.04,63835.38,-500070.39,756161.98,197284.46980817377,-11998.324542467002,139669.09300446702,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,10859.50,40185.93,-500070.39,348127.21,139308.0429371196,-13362.362750004497,93734.2127500045,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,933.11,38958.84,-500070.39,348127.21,139424.8924950041,-14634.360966026943,92552.04558202694,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,1096.79,38945.06,-500070.39,348127.21,139428.78298671276,-14649.6402688944,92539.75719289441,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,23.67,37186.21,-500070.39,348127.21,139613.69225101348,-16479.561717815574,90851.98940981558,405,Customer Logistic Discounts,0,MW,
420300,Customer Logistics Discounts (On-Invoice,1002,US Mars Wrigley,31000237,MW USA Ice Cream Market,0,null,1030,TNSV_3rdparty,2023005,477.30,34054.03,-500070.39,348127.21,139494.13746646923,-19565.785569142667,87673.85479914266,405,Customer Logistic Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,1014692.49,null,null,null,null,null,null,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,-198517.26,1014692.49,1014692.49,1014692.49,null,null,null,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,59076.95,408087.62,-198517.26,1014692.49,857868.8412266361,78333.44867019297,737841.781329807,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,3027776.68,291750.73,-198517.26,1014692.49,639196.5966234591,46051.4650653837,537449.9882686163,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,-2475712.85,975757.22,-198517.26,3027776.68,1464186.1324361747,412942.1851840365,1538572.2448159633,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,92057.91,285463.20,-2475712.85,3027776.68,1997601.0349246478,-482389.9152542188,1053316.3192542188,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,359326.13,253228.99,-2475712.85,3027776.68,1788452.4549494048,-434230.004685426,940687.978019426,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,125000.01,268385.72,-2475712.85,3027776.68,1633118.6645819587,-359364.8831818983,896136.3260398983,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,0.00,250462.51,-2475712.85,3027776.68,1512823.706332792,-331048.2038255642,831973.2188255643,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,0.00,222633.34,-2475712.85,3027776.68,1417577.611177202,-322265.95103048487,767532.6310304848,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,4840.35,200370.01,-2475712.85,3027776.68,1338358.0036480234,-314078.2482491437,714818.2602491437,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,49.99,182594.58,-2475712.85,3027776.68,1271045.8503663905,-305979.7127972749,671168.8782512748,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,3419.83,167382.53,-2475712.85,3027776.68,1213039.802551238,-298894.9552434641,633660.021909464,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,0.00,154770.02,-2475712.85,3027776.68,1162287.1480488034,-291998.7785643827,601538.8139483827,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,-231999.98,143715.02,-2475712.85,3027776.68,1117455.204742122,-285820.9356213833,573250.9684793833,414,Promotion Discounts,0,MW,
420400,Promotion Discounts (On-Invoice),1002,US Mars Wrigley,31000236,MW USA Market,0,null,1030,TNSV_3rdparty,2022010,0.00,118667.35,-2475712.85,3027776.68,1081167.7127897714,-296920.13920629944,534254.8392062995,414,Promotion Discounts,0,MW,
420500,Display & Trade Advertising Discounts (O,1002,US Mars Wrigley,31000236,MW USA Market,0,null,0,TNSV_3rdparty,2021002,0.00,null,null,null,null,null,null,410,Displays & Trade Advertising Discounts,0,MW,
